iter	Passed	Remaining
0	141	140921
1	143	71476
2	145	48342
3	147	36764
4	149	29788
5	151	25138
6	153	21808
7	155	19292
8	157	17332
9	159	15753
10	160	14466
11	162	13381
12	164	12473
13	165	11690
14	167	11012
15	169	10414
16	170	9887
17	172	9417
18	174	8995
19	175	8611
20	177	8260
21	178	7942
22	180	7657
23	182	7411
24	183	7173
25	185	6940
26	186	6716
27	187	6510
28	188	6318
29	189	6140
30	191	5974
31	192	5816
32	193	5667
33	194	5530
34	195	5398
35	196	5273
36	198	5154
37	199	5042
38	200	4936
39	201	4833
40	202	4739
41	203	4648
42	204	4561
43	206	4475
44	207	4395
45	208	4318
46	209	4244
47	210	4175
48	211	4107
49	212	4041
50	213	3978
51	214	3918
52	216	3860
53	217	3804
54	218	3750
55	219	3697
56	220	3648
57	221	3600
58	222	3555
59	223	3509
60	225	3465
61	226	3422
62	227	3381
63	228	3341
64	229	3302
65	230	3263
66	231	3226
67	232	3183
68	233	3148
69	234	3114
70	235	3082
71	236	3051
72	237	3020
73	238	2990
74	240	2961
75	241	2933
76	242	2905
77	243	2877
78	244	2851
79	245	2825
80	246	2800
81	247	2775
82	249	2751
83	250	2727
84	250	2701
85	252	2678
86	252	2652
87	253	2631
88	254	2610
89	256	2589
90	257	2569
91	258	2549
92	259	2530
93	260	2511
94	261	2493
95	262	2474
96	263	2456
97	264	2439
98	266	2422
99	267	2405
100	268	2389
101	268	2368
102	270	2352
103	271	2336
104	272	2320
105	273	2305
106	274	2290
107	275	2275
108	276	2261
109	277	2246
110	278	2232
111	280	2221
112	281	2211
113	282	2198
114	283	2185
115	284	2170
116	286	2159
117	287	2147
118	288	2133
119	289	2121
120	290	2110
121	291	2098
122	292	2083
123	293	2072
124	294	2060
125	295	2049
126	296	2039
127	297	2025
128	298	2015
129	299	2004
130	300	1994
131	301	1983
132	302	1973
133	303	1964
134	305	1954
135	306	1945
136	307	1935
137	308	1925
138	309	1915
139	310	1906
140	311	1898
141	312	1889
142	313	1880
143	314	1871
144	316	1863
145	317	1855
146	318	1846
147	319	1838
148	320	1830
149	321	1824
150	323	1818
151	324	1811
152	325	1804
153	327	1796
154	328	1788
155	329	1781
156	330	1773
157	331	1766
158	332	1759
159	333	1751
160	334	1745
161	336	1739
162	337	1732
163	338	1725
164	339	1718
165	340	1711
166	341	1705
167	342	1698
168	343	1691
169	345	1684
170	346	1678
171	347	1671
172	348	1665
173	349	1658
174	350	1652
175	351	1646
176	352	1640
177	353	1634
178	355	1628
179	356	1622
180	356	1613
181	357	1608
182	358	1602
183	359	1596
184	361	1590
185	362	1585
186	363	1580
187	364	1574
188	365	1569
189	366	1563
190	367	1558
191	368	1552
192	370	1547
193	371	1542
194	372	1537
195	373	1531
196	374	1526
197	375	1521
198	377	1518
199	378	1514
200	380	1512
201	381	1508
202	382	1503
203	383	1498
204	385	1493
205	386	1488
206	387	1483
207	388	1478
208	389	1474
209	390	1469
210	391	1464
211	392	1460
212	393	1455
213	395	1451
214	396	1446
215	397	1441
216	398	1437
217	399	1432
218	400	1428
219	401	1423
220	402	1419
221	403	1414
222	404	1410
223	405	1406
224	406	1401
225	408	1397
226	409	1393
227	410	1388
228	411	1384
229	412	1380
230	413	1376
231	414	1372
232	415	1368
233	416	1364
234	417	1360
235	419	1356
236	420	1352
237	421	1348
238	422	1344
239	423	1340
240	424	1336
241	425	1332
242	426	1329
243	427	1325
244	428	1321
245	429	1317
246	430	1313
247	431	1309
248	433	1306
249	434	1302
250	435	1298
251	436	1295
252	437	1291
253	438	1287
254	439	1284
255	440	1280
256	441	1277
257	442	1273
258	443	1270
259	445	1266
260	446	1263
261	447	1259
262	448	1256
263	449	1254
264	450	1250
265	452	1247
266	453	1244
267	454	1240
268	455	1237
269	456	1233
270	457	1230
271	458	1227
272	459	1224
273	460	1220
274	461	1217
275	463	1214
276	464	1211
277	465	1208
278	466	1205
279	467	1202
280	468	1199
281	469	1195
282	470	1192
283	471	1189
284	472	1186
285	474	1183
286	475	1180
287	476	1178
288	478	1176
289	479	1173
290	480	1170
291	481	1167
292	482	1164
293	483	1161
294	484	1158
295	485	1155
296	486	1152
297	487	1149
298	489	1146
299	490	1143
300	491	1140
301	492	1137
302	493	1134
303	494	1132
304	495	1129
305	496	1126
306	497	1123
307	498	1120
308	499	1117
309	500	1114
310	502	1112
311	503	1109
312	504	1106
313	505	1104
314	506	1101
315	507	1098
316	508	1096
317	509	1093
318	510	1090
319	511	1087
320	512	1085
321	514	1082
322	515	1079
323	516	1077
324	517	1074
325	518	1072
326	519	1069
327	520	1066
328	521	1064
329	522	1061
330	523	1059
331	524	1056
332	526	1053
333	527	1051
334	528	1048
335	529	1046
336	530	1043
337	531	1041
338	532	1038
339	533	1036
340	535	1033
341	536	1031
342	537	1029
343	538	1027
344	539	1025
345	541	1022
346	542	1020
347	543	1018
348	544	1015
349	545	1013
350	546	1011
351	548	1008
352	549	1006
353	550	1004
354	551	1001
355	552	999
356	553	996
357	554	994
358	555	991
359	556	989
360	557	987
361	558	984
362	559	982
363	561	980
364	562	977
365	563	975
366	564	973
367	565	971
368	566	969
369	567	966
370	568	964
371	569	962
372	571	959
373	572	958
374	575	958
375	576	956
376	577	954
377	578	951
378	579	949
379	580	947
380	581	944
381	582	942
382	583	940
383	584	938
384	585	935
385	587	933
386	588	931
387	589	929
388	590	927
389	591	925
390	592	923
391	593	920
392	594	918
393	596	916
394	597	914
395	598	912
396	599	910
397	600	908
398	601	905
399	602	903
400	603	901
401	604	899
402	605	897
403	606	895
404	608	893
405	609	891
406	610	889
407	611	887
408	612	885
409	613	882
410	614	880
411	615	878
412	616	876
413	618	874
414	619	872
415	620	870
416	621	868
417	622	866
418	623	864
419	624	862
420	625	860
421	626	858
422	628	856
423	629	855
424	630	853
425	632	851
