iter	Passed	Remaining
0	2	2329
1	3	1851
2	4	1656
3	6	1571
4	7	1521
5	10	1726
6	13	1889
7	15	1863
8	16	1834
9	17	1755
10	19	1716
11	20	1683
12	21	1644
13	23	1631
14	28	1838
15	30	1865
16	31	1833
17	32	1798
18	34	1766
19	35	1742
20	36	1719
21	38	1698
22	41	1776
23	43	1758
24	44	1736
25	45	1713
26	46	1691
27	48	1671
28	49	1656
29	50	1643
30	52	1630
31	53	1617
32	56	1657
33	58	1650
34	59	1638
35	60	1632
36	62	1620
37	63	1609
38	64	1598
39	66	1586
40	67	1576
41	68	1569
42	72	1605
43	73	1600
44	75	1596
45	77	1597
46	78	1587
47	79	1578
48	80	1568
49	82	1560
50	83	1551
51	85	1549
52	87	1557
53	88	1550
54	89	1542
55	90	1533
56	92	1525
57	93	1519
58	94	1512
59	96	1507
60	97	1499
61	98	1492
62	102	1518
63	103	1513
64	104	1508
65	106	1501
66	107	1496
67	108	1490
68	110	1485
69	111	1478
70	112	1474
71	113	1468
72	116	1481
73	119	1495
74	121	1496
75	122	1493
76	124	1489
77	125	1483
78	126	1477
79	128	1472
80	129	1467
81	131	1473
82	133	1475
83	135	1475
84	136	1469
85	137	1464
86	139	1460
87	140	1456
88	142	1459
89	144	1464
90	148	1487
91	151	1493
92	153	1494
93	155	1498
94	157	1498
95	158	1496
96	160	1493
97	163	1500
98	167	1528
99	170	1530
100	171	1525
101	173	1529
102	175	1526
103	179	1546
104	182	1559
105	184	1554
106	185	1548
107	186	1542
108	188	1540
109	189	1536
110	191	1532
111	196	1561
112	199	1562
113	200	1557
114	201	1554
115	203	1549
116	205	1550
117	210	1574
118	213	1578
119	214	1573
120	216	1569
121	218	1570
122	219	1565
123	220	1560
124	225	1577
125	228	1586
126	230	1581
127	231	1578
128	233	1577
129	235	1573
130	236	1568
131	241	1589
132	243	1589
133	245	1585
134	247	1582
135	249	1584
136	250	1578
137	251	1573
138	256	1586
139	259	1591
140	260	1586
141	261	1582
142	264	1582
143	265	1578
144	266	1573
145	271	1590
146	274	1590
147	276	1592
148	278	1589
149	280	1588
150	281	1583
151	284	1589
152	288	1596
153	289	1590
154	291	1587
155	292	1583
156	293	1578
157	295	1573
158	296	1568
159	297	1563
160	300	1567
161	303	1567
162	304	1562
163	305	1557
164	306	1552
165	308	1548
166	309	1544
167	310	1540
168	312	1535
169	315	1540
170	317	1540
171	319	1536
172	320	1531
173	321	1528
174	323	1524
175	324	1521
176	326	1517
177	327	1513
178	331	1518
179	332	1513
180	333	1511
181	335	1506
182	336	1502
183	337	1498
184	339	1494
185	340	1491
186	342	1487
187	343	1483
188	346	1487
189	348	1483
190	349	1480
